1	Then Job answered the LORD, and said,
Psalm 9:9	The LORD also will be a refuge for the oppressed, a refuge in times of trouble.
Psalm 9:10	And they that know your name will put their trust in you: for you, LORD, have not forsaken them that seek you.
Psalm 9:11	Sing praises to the LORD, which dwells in Zion: declare among the people his doings.
Psalm 9:12	When he makes inquisition for blood, he remembers them: he forgets not the cry of the humble.
Psalm 9:13	Have mercy on me, O LORD; consider my trouble which I suffer of them that hate me, you that lift me up from the gates of death:
Psalm 9:14	That I may show forth all your praise in the gates of the daughter of Zion: I will rejoice in your salvation.
Psalm 9:15	The heathen are sunk down in the pit that they made: in the net which they hid is their own foot taken.
Psalm 9:16	The LORD is known by the judgment which he executes: the wicked is snared in the work of his own hands. Higgaion. Selah.
Psalm 9:17	The wicked shall be turned into hell, and all the nations that forget God.
Psalm 9:18	For the needy shall not always be forgotten: the expectation of the poor shall not perish for ever.
Psalm 9:19	Arise, O LORD; let not man prevail: let the heathen be judged in your sight.
Psalm 9:20	Put them in fear, O LORD: that the nations may know themselves to be but men. Selah.
Psalm 10:1	Why stand you afar off, O LORD? why hide you yourself in times of trouble?
Psalm 10:2	The wicked in his pride does persecute the poor: let them be taken in the devices that they have imagined.
Psalm 10:3	For the wicked boasts of his heart’s desire, and blesses the covetous, whom the LORD abhors.
Psalm 10:4	The wicked, through the pride of his countenance, will not seek after God: God is not in all his thoughts.
Psalm 10:5	His ways are always grievous; your judgments are far above out of his sight: as for all his enemies, he puffs at them.
Psalm 10:6	He has said in his heart, I shall not be moved: for I shall never be in adversity.
Psalm 10:7	His mouth is full of cursing and deceit and fraud: under his tongue is mischief and vanity.
Psalm 10:8	He sits in the lurking places of the villages: in the secret places does he murder the innocent: his eyes are privately set against the poor.
Psalm 10:9	He lies in wait secretly as a lion in his den: he lies in wait to catch the poor: he does catch the poor, when he draws him into his net.
Psalm 10:10	He crouches, and humbles himself, that the poor may fall by his strong ones.
Psalm 10:11	He has said in his heart, God has forgotten: he hides his face; he will never see it.
Psalm 10:12	Arise, O LORD; O God, lift up your hand: forget not the humble.
Psalm 10:13	Why does the wicked scorn God? he has said in his heart, You will not require it.
Psalm 10:14	You have seen it; for you behold mischief and spite, to requite it with your hand: the poor commits himself to you; you are the helper of the fatherless.
Psalm 10:15	Break you the arm of the wicked and the evil man: seek out his wickedness till you find none.
Psalm 10:16	The LORD is King for ever and ever: the heathen are perished out of his land.
Psalm 10:17	LORD, you have heard the desire of the humble: you will prepare their heart, you will cause your ear to hear:
Psalm 10:18	To judge the fatherless and the oppressed, that the man of the earth may no more oppress.
Psalm 11:1	In the LORD put I my trust: how say you to my soul, Flee as a bird to your mountain?
Psalm 11:2	For, see, the wicked bend their bow, they make ready their arrow on the string, that they may privately shoot at the upright in heart.
Psalm 11:3	If the foundations be destroyed, what can the righteous do?
Psalm 11:4	The LORD is in his holy temple, the LORD’s throne is in heaven: his eyes behold, his eyelids try, the children of men.
Psalm 11:5	The LORD tries the righteous: but the wicked and him that loves violence his soul hates.
Psalm 11:6	On the wicked he shall rain snares, fire and brimstone, and an horrible tempest: this shall be the portion of their cup.
Psalm 11:7	For the righteous LORD loves righteousness; his countenance does behold the upright.
Psalm 12:1	Help, LORD; for the godly man ceases; for the faithful fail from among the children of men.
Psalm 12:2	They speak vanity every one with his neighbor: with flattering lips and with a double heart do they speak.
Psalm 12:3	The LORD shall cut off all flattering lips, and the tongue that speaks proud things:
Psalm 12:4	Who have said, With our tongue will we prevail; our lips are our own: who is lord over us?
Psalm 12:5	For the oppression of the poor, for the sighing of the needy, now will I arise, said the LORD; I will set him in safety from him that puffs at him.
Psalm 12:6	The words of the LORD are pure words: as silver tried in a furnace of earth, purified seven times.
Psalm 12:7	You shall keep them, O LORD, you shall preserve them from this generation for ever.
Psalm 12:8	The wicked walk on every side, when the vilest men are exalted.
Psalm 13:1	How long will you forget me, O LORD? for ever? how long will you hide your face from me?
Psalm 13:2	How long shall I take counsel in my soul, having sorrow in my heart daily? how long shall my enemy be exalted over me?
Psalm 13:3	Consider and hear me, O LORD my God: lighten my eyes, lest I sleep the sleep of death;
Psalm 13:4	Lest my enemy say, I have prevailed against him; and those that trouble me rejoice when I am moved.
Psalm 13:5	But I have trusted in your mercy; my heart shall rejoice in your salvation.
Psalm 13:6	I will sing to the LORD, because he has dealt bountifully with me.
Psalm 14:1	The fool has said in his heart, There is no God. They are corrupt, they have done abominable works, there is none that does good.
Psalm 14:2	The LORD looked down from heaven on the children of men, to see if there were any that did understand, and seek God.
Psalm 14:3	They are all gone aside, they are all together become filthy: there is none that does good, no, not one.
Psalm 14:4	Have all the workers of iniquity no knowledge? who eat up my people as they eat bread, and call not on the LORD.
Psalm 14:5	There were they in great fear: for God is in the generation of the righteous.
Psalm 14:6	You have shamed the counsel of the poor, because the LORD is his refuge.
Psalm 14:7	Oh that the salvation of Israel were come out of Zion! when the LORD brings back the captivity of his people, Jacob shall rejoice, and Israel shall be glad.
Psalm 15:1	Lord, who shall abide in your tabernacle? who shall dwell in your holy hill?
Psalm 15:2	He that walks uprightly, and works righteousness, and speaks the truth in his heart.
Psalm 15:3	He that backbites not with his tongue, nor does evil to his neighbor, nor takes up a reproach against his neighbor.
Psalm 15:4	In whose eyes a vile person is contemned; but he honors them that fear the LORD. He that swears to his own hurt, and changes not.
Psalm 15:5	He that puts not out his money to usury, nor takes reward against the innocent. He that does these things shall never be moved.
Psalm 16:1	Preserve me, O God: for in you do I put my trust.
Psalm 16:2	O my soul, you have said to the LORD, You are my Lord: my goodness extends not to you;
Psalm 16:3	But to the saints that are in the earth, and to the excellent, in whom is all my delight.
Psalm 16:4	Their sorrows shall be multiplied that hasten after another god: their drink offerings of blood will I not offer, nor take up their names into my lips.
Psalm 16:5	The LORD is the portion of my inheritance and of my cup: you maintain my lot.
Psalm 16:6	The lines are fallen to me in pleasant places; yes, I have a goodly heritage.
Psalm 16:7	I will bless the LORD, who has given me counsel: my reins also instruct me in the night seasons.
Psalm 16:8	I have set the LORD always before me: because he is at my right hand, I shall not be moved.
Psalm 16:9	Therefore my heart is glad, and my glory rejoices: my flesh also shall rest in hope.
Psalm 16:10	For you will not leave my soul in hell; neither will you suffer your Holy One to see corruption.
Psalm 16:11	You will show me the path of life: in your presence is fullness of joy; at your right hand there are pleasures for ever more.
Psalm 17:1	Hear the right, O LORD, attend to my cry, give ear to my prayer, that goes not out of feigned lips.
Psalm 17:2	Let my sentence come forth from your presence; let your eyes behold the things that are equal.
Psalm 17:3	You have proved my heart; you have visited me in the night; you have tried me, and shall find nothing; I am purposed that my mouth shall not transgress.
Psalm 17:4	Concerning the works of men, by the word of your lips I have kept me from the paths of the destroyer.
Psalm 17:5	Hold up my goings in your paths, that my footsteps slip not.
Psalm 17:6	I have called on you, for you will hear me, O God: incline your ear to me, and hear my speech.
Psalm 17:7	Show your marvelous loving kindness, O you that save by your right hand them which put their trust in you from those that rise up against them.
Psalm 17:8	Keep me as the apple of the eye, hide me under the shadow of your wings,
Psalm 17:9	From the wicked that oppress me, from my deadly enemies, who compass me about.
Psalm 17:10	They are enclosed in their own fat: with their mouth they speak proudly.
Psalm 17:11	They have now compassed us in our steps: they have set their eyes bowing down to the earth;
Psalm 17:12	Like as a lion that is greedy of his prey, and as it were a young lion lurking in secret places.
Psalm 17:13	Arise, O LORD, disappoint him, cast him down: deliver my soul from the wicked, which is your sword:
Psalm 17:14	From men which are your hand, O LORD, from men of the world, which have their portion in this life, and whose belly you fill with your hid treasure: they are full of children, and leave the rest of their substance to their babes.
Psalm 17:15	As for me, I will behold your face in righteousness: I shall be satisfied, when I awake, with your likeness.
Psalm 18:1	I will love you, O LORD, my strength.
Psalm 18:2	The LORD is my rock, and my fortress, and my deliverer; my God, my strength, in whom I will trust; my buckler, and the horn of my salvation, and my high tower.
Psalm 18:3	I will call on the LORD, who is worthy to be praised: so shall I be saved from my enemies.
Psalm 18:4	The sorrows of death compassed me, and the floods of ungodly men made me afraid.
Psalm 18:5	The sorrows of hell compassed me about: the snares of death prevented me.
Psalm 18:6	In my distress I called on the LORD, and cried to my God: he heard my voice out of his temple, and my cry came before him, even into his ears.
Psalm 18:7	Then the earth shook and trembled; the foundations also of the hills moved and were shaken, because he was wroth.
Psalm 18:8	There went up a smoke out of his nostrils, and fire out of his mouth devoured: coals were kindled by it.
Psalm 18:9	He bowed the heavens also, and came down: and darkness was under his feet.
Psalm 18:10	And he rode on a cherub, and did fly: yes, he did fly on the wings of the wind.
Psalm 18:11	He made darkness his secret place; his pavilion round about him were dark waters and thick clouds of the skies.
Psalm 18:12	At the brightness that was before him his thick clouds passed, hail stones and coals of fire.
Psalm 18:13	The LORD also thundered in the heavens, and the Highest gave his voice; hail stones and coals of fire.
Psalm 18:14	Yes, he sent out his arrows, and scattered them; and he shot out lightning, and discomfited them.
Psalm 18:15	Then the channels of waters were seen, and the foundations of the world were discovered at your rebuke, O LORD, at the blast of the breath of your nostrils.
Psalm 18:16	He sent from above, he took me, he drew me out of many waters.
Psalm 18:17	He delivered me from my strong enemy, and from them which hated me: for they were too strong for me.
Psalm 18:18	They prevented me in the day of my calamity: but the LORD was my stay.
Psalm 18:19	He brought me forth also into a large place; he delivered me, because he delighted in me.
Psalm 18:20	The LORD rewarded me according to my righteousness; according to the cleanness of my hands has he recompensed me.
Psalm 18:21	For I have kept the ways of the LORD, and have not wickedly departed from my God.
Psalm 18:22	For all his judgments were before me, and I did not put away his statutes from me.
Psalm 18:23	I was also upright before him, and I kept myself from my iniquity.
Psalm 18:24	Therefore has the LORD recompensed me according to my righteousness, according to the cleanness of my hands in his eyesight.
Psalm 18:25	With the merciful you will show yourself merciful; with an upright man you will show yourself upright;
Psalm 18:26	With the pure you will show yourself pure; and with the fraudulent you will show yourself devious.
Psalm 18:27	For you will save the afflicted people; but will bring down high looks.
Psalm 18:28	For you will light my candle: the LORD my God will enlighten my darkness.
Psalm 18:29	For by you I have run through a troop; and by my God have I leaped over a wall.
Psalm 18:30	As for God, his way is perfect: the word of the LORD is tried: he is a buckler to all those that trust in him.
Psalm 18:31	For who is God save the LORD? or who is a rock save our God?
Psalm 18:32	It is God that girds me with strength, and makes my way perfect.
Psalm 18:33	He makes my feet like hinds’ feet, and sets me on my high places.
Psalm 18:34	He teaches my hands to war, so that a bow of steel is broken by my arms.
Psalm 18:35	You have also given me the shield of your salvation: and your right hand has held me up, and your gentleness has made me great.
Psalm 18:36	You have enlarged my steps under me, that my feet did not slip.
Psalm 18:37	I have pursued my enemies, and overtaken them: neither did I turn again till they were consumed.
Psalm 18:38	I have wounded them that they were not able to rise: they are fallen under my feet.
Psalm 18:39	For you have girded me with strength to the battle: you have subdued under me those that rose up against me.
Psalm 18:40	You have also given me the necks of my enemies; that I might destroy them that hate me.
Psalm 18:41	They cried, but there was none to save them: even to the LORD, but he answered them not.
Psalm 18:42	Then did I beat them small as the dust before the wind: I did cast them out as the dirt in the streets.
Psalm 18:43	You have delivered me from the strivings of the people; and you have made me the head of the heathen: a people whom I have not known shall serve me.
Psalm 18:44	As soon as they hear of me, they shall obey me: the strangers shall submit themselves to me.
Psalm 18:45	The strangers shall fade away, and be afraid out of their close places.
Psalm 18:46	The LORD lives; and blessed be my rock; and let the God of my salvation be exalted.
Psalm 18:47	It is God that avenges me, and subdues the people under me.
Psalm 18:48	He delivers me from my enemies: yes, you lift me up above those that rise up against me: you have delivered me from the violent man.
Psalm 18:49	Therefore will I give thanks to you, O LORD, among the heathen, and sing praises to your name.
Psalm 18:50	Great deliverance gives he to his king; and shows mercy to his anointed, to David, and to his seed for ever more.
Psalm 19:1	The heavens declare the glory of God; and the firmament shows his handiwork.
Psalm 19:2	Day to day utters speech, and night to night shows knowledge.
Psalm 19:3	There is no speech nor language, where their voice is not heard.
Psalm 19:4	Their line is gone out through all the earth, and their words to the end of the world. In them has he set a tabernacle for the sun,
Psalm 19:5	Which is as a bridegroom coming out of his chamber, and rejoices as a strong man to run a race.
Psalm 19:6	His going forth is from the end of the heaven, and his circuit to the ends of it: and there is nothing hid from the heat thereof.
Psalm 19:7	The law of the LORD is perfect, converting the soul: the testimony of the LORD is sure, making wise the simple.
Psalm 19:8	The statutes of the LORD are right, rejoicing the heart: the commandment of the LORD is pure, enlightening the eyes.
Psalm 19:9	The fear of the LORD is clean, enduring for ever: the judgments of the LORD are true and righteous altogether.
Psalm 19:10	More to be desired are they than gold, yes, than much fine gold: sweeter also than honey and the honeycomb.
Psalm 19:11	Moreover by them is your servant warned: and in keeping of them there is great reward.
Psalm 19:12	Who can understand his errors? cleanse you me from secret faults.
Psalm 19:13	Keep back your servant also from presumptuous sins; let them not have dominion over me: then shall I be upright, and I shall be innocent from the great transgression.
Psalm 19:14	Let the words of my mouth, and the meditation of my heart, be acceptable in your sight, O LORD, my strength, and my redeemer.
Psalm 20:1	The LORD hear you in the day of trouble; the name of the God of Jacob defend you;
Psalm 20:2	Send you help from the sanctuary, and strengthen you out of Zion;
Psalm 20:3	Remember all your offerings, and accept your burnt sacrifice; Selah.
Psalm 20:4	Grant you according to your own heart, and fulfill all your counsel.
Psalm 20:5	We will rejoice in your salvation, and in the name of our God we will set up our banners: the LORD fulfill all your petitions.
Psalm 20:6	Now know I that the LORD saves his anointed; he will hear him from his holy heaven with the saving strength of his right hand.
Psalm 20:7	Some trust in chariots, and some in horses: but we will remember the name of the LORD our God.
Psalm 20:8	They are brought down and fallen: but we are risen, and stand upright.
Psalm 20:9	Save, LORD: let the king hear us when we call.
Psalm 21:1	The king shall joy in your strength, O LORD; and in your salvation how greatly shall he rejoice!
Psalm 21:2	You have given him his heart’s desire, and have not withheld the request of his lips. Selah.
Psalm 21:3	For you prevent him with the blessings of goodness: you set a crown of pure gold on his head.
Psalm 21:4	He asked life of you, and you gave it him, even length of days for ever and ever.
Psalm 21:5	His glory is great in your salvation: honor and majesty have you laid on him.
Psalm 21:6	For you have made him most blessed for ever: you have made him exceeding glad with your countenance.
Psalm 21:7	For the king trusts in the LORD, and through the mercy of the most High he shall not be moved.
Psalm 21:8	Your hand shall find out all your enemies: your right hand shall find out those that hate you.
Psalm 21:9	You shall make them as a fiery oven in the time of your anger: the LORD shall swallow them up in his wrath, and the fire shall devour them.
Psalm 21:10	Their fruit shall you destroy from the earth, and their seed from among the children of men.
Psalm 21:11	For they intended evil against you: they imagined a mischievous device, which they are not able to perform.
Psalm 21:12	Therefore shall you make them turn their back, when you shall make ready your arrows on your strings against the face of them.
Psalm 21:13	Be you exalted, LORD, in your own strength: so will we sing and praise your power.
Psalm 22:1	My God, my God, why have you forsaken me? why are you so far from helping me, and from the words of my roaring?
Psalm 22:2	O my God, I cry in the day time, but you hear not; and in the night season, and am not silent.
Psalm 22:3	But you are holy, O you that inhabit the praises of Israel.
Psalm 22:4	Our fathers trusted in you: they trusted, and you did deliver them.
Psalm 22:5	They cried to you, and were delivered: they trusted in you, and were not confounded.
Psalm 22:6	But I am a worm, and no man; a reproach of men, and despised of the people.
Psalm 22:7	All they that see me laugh me to scorn: they shoot out the lip, they shake the head, saying,
Psalm 22:8	He trusted on the LORD that he would deliver him: let him deliver him, seeing he delighted in him.
Psalm 22:9	But you are he that took me out of the womb: you did make me hope when I was on my mother’s breasts.
Psalm 22:10	I was cast on you from the womb: you are my God from my mother’s belly.
Psalm 22:11	Be not far from me; for trouble is near; for there is none to help.
Psalm 22:12	Many bulls have compassed me: strong bulls of Bashan have beset me round.
Psalm 22:13	They gaped on me with their mouths, as a ravening and a roaring lion.
Psalm 22:14	I am poured out like water, and all my bones are out of joint: my heart is like wax; it is melted in the middle of my bowels.
Psalm 22:15	My strength is dried up like a potsherd; and my tongue sticks to my jaws; and you have brought me into the dust of death.
Psalm 22:16	For dogs have compassed me: the assembly of the wicked have enclosed me: they pierced my hands and my feet.
Psalm 22:17	I may tell all my bones: they look and stare on me.
Psalm 22:18	They part my garments among them, and cast lots on my clothing.
Psalm 22:19	But be not you far from me, O LORD: O my strength, haste you to help me.
Psalm 22:20	Deliver my soul from the sword; my darling from the power of the dog.
Psalm 22:21	Save me from the lion’s mouth: for you have heard me from the horns of the unicorns.
Psalm 22:22	I will declare your name to my brothers: in the middle of the congregation will I praise you.
Psalm 22:23	You that fear the LORD, praise him; all you the seed of Jacob, glorify him; and fear him, all you the seed of Israel.
Psalm 22:24	For he has not despised nor abhorred the affliction of the afflicted; neither has he hid his face from him; but when he cried to him, he heard.
Psalm 22:25	My praise shall be of you in the great congregation: I will pay my vows before them that fear him.
Psalm 22:26	The meek shall eat and be satisfied: they shall praise the LORD that seek him: your heart shall live for ever.
Psalm 22:27	All the ends of the world shall remember and turn to the LORD: and all the kindreds of the nations shall worship before you.
Psalm 22:28	For the kingdom is the LORD’s: and he is the governor among the nations.
Psalm 22:29	All they that be fat on earth shall eat and worship: all they that go down to the dust shall bow before him: and none can keep alive his own soul.
Psalm 22:30	A seed shall serve him; it shall be accounted to the Lord for a generation.
Psalm 22:31	They shall come, and shall declare his righteousness to a people that shall be born, that he has done this.
Psalm 23:1	The LORD is my shepherd; I shall not want.
Psalm 23:2	He makes me to lie down in green pastures: he leads me beside the still waters.
Psalm 23:3	He restores my soul: he leads me in the paths of righteousness for his name’s sake.
Psalm 23:4	Yes, though I walk through the valley of the shadow of death, I will fear no evil: for you are with me; your rod and your staff they comfort me.
Psalm 23:5	You prepare a table before me in the presence of my enemies: you anoint my head with oil; my cup runs over.
Psalm 23:6	Surely goodness and mercy shall follow me all the days of my life: and I will dwell in the house of the LORD for ever.
Psalm 24:1	The earth is the LORD’s, and the fullness thereof; the world, and they that dwell therein.
Psalm 24:2	For he has founded it on the seas, and established it on the floods.
Psalm 24:3	Who shall ascend into the hill of the LORD? or who shall stand in his holy place?
Psalm 24:4	He that has clean hands, and a pure heart; who has not lifted up his soul to vanity, nor sworn deceitfully.
Psalm 24:5	He shall receive the blessing from the LORD, and righteousness from the God of his salvation.
Psalm 24:6	This is the generation of them that seek him, that seek your face, O Jacob. Selah.
Psalm 24:7	Lift up your heads, O you gates; and be you lift up, you everlasting doors; and the King of glory shall come in.
Psalm 24:8	Who is this King of glory? The LORD strong and mighty, the LORD mighty in battle.
Psalm 24:9	Lift up your heads, O you gates; even lift them up, you everlasting doors; and the King of glory shall come in.
Psalm 24:10	Who is this King of glory? The LORD of hosts, he is the King of glory. Selah.
Psalm 25:1	To you, O LORD, do I lift up my soul.
Psalm 25:2	O my God, I trust in you: let me not be ashamed, let not my enemies triumph over me.
Psalm 25:3	Yes, let none that wait on you be ashamed: let them be ashamed which transgress without cause.
Psalm 25:4	Show me your ways, O LORD; teach me your paths.
Psalm 25:5	Lead me in your truth, and teach me: for you are the God of my salvation; on you do I wait all the day.
Psalm 25:6	Remember, O LORD, your tender mercies and your loving kindnesses; for they have been ever of old.
