1	Then Job answered Yahweh,
Psalm 10:9	He lurks in secret as a lion in his ambush. He lies in wait to catch the helpless. He catches the helpless, when he draws him in his net.
Psalm 10:10	The helpless are crushed. They collapse. They fall under his strength.
Psalm 10:11	He says in his heart, “God has forgotten. He hides his face. He will never see it.”
Psalm 10:12	Arise, Yahweh! God, lift up your hand! Don’t forget the helpless.
Psalm 10:13	Why does the wicked person condemn God, and say in his heart, “God won’t call me into account?”
Psalm 10:14	But you do see trouble and grief. You consider it to take it into your hand. You help the victim and the fatherless.
Psalm 10:15	Break the arm of the wicked. As for the evil man, seek out his wickedness until you find none.
Psalm 10:16	Yahweh is King forever and ever! The nations will perish out of his land.
Psalm 10:17	Yahweh, you have heard the desire of the humble. You will prepare their heart. You will cause your ear to hear,
Psalm 10:18	to judge the fatherless and the oppressed, that man who is of the earth may terrify no more.
Psalm 11:1	For the Chief Musician. By David. In Yahweh, I take refuge. How can you say to my soul, “Flee as a bird to your mountain!”
Psalm 11:2	For, behold, the wicked bend their bows. They set their arrows on the strings, that they may shoot in darkness at the upright in heart.
Psalm 11:3	If the foundations are destroyed, what can the righteous do?
Psalm 11:4	Yahweh is in his holy temple. Yahweh is on his throne in heaven. His eyes observe. His eyes examine the children of men.
Psalm 11:5	Yahweh examines the righteous, but the wicked and him who loves violence his soul hates.
Psalm 11:6	On the wicked he will rain blazing coals; fire, sulfur, and scorching wind shall be the portion of their cup.
Psalm 11:7	For Yahweh is righteous. He loves righteousness. The upright shall see his face.
Psalm 12:1	For the Chief Musician; upon an eight-stringed lyre. A Psalm of David. Help, Yahweh; for the godly man ceases. For the faithful fail from among the children of men.
Psalm 12:2	Everyone lies to his neighbor. They speak with flattering lips, and with a double heart.
Psalm 12:3	May Yahweh cut off all flattering lips, and the tongue that boasts,
Psalm 12:4	who have said, “With our tongue we will prevail. Our lips are our own. Who is lord over us?”
Psalm 12:5	“Because of the oppression of the weak and because of the groaning of the needy, I will now arise,” says Yahweh; “I will set him in safety from those who malign him.”
Psalm 12:6	The words of Yahweh are flawless words, as silver refined in a clay furnace, purified seven times.
Psalm 12:7	You will keep them, Yahweh. You will preserve them from this generation forever.
Psalm 12:8	The wicked walk on every side, when what is vile is exalted among the sons of men.
Psalm 13:1	For the Chief Musician. A Psalm by David. How long, Yahweh? Will you forget me forever? How long will you hide your face from me?
Psalm 13:2	How long shall I take counsel in my soul, having sorrow in my heart every day? How long shall my enemy triumph over me?
Psalm 13:3	Behold, and answer me, Yahweh, my God. Give light to my eyes, lest I sleep in death;
Psalm 13:4	Lest my enemy say, “I have prevailed against him;” Lest my adversaries rejoice when I fall.
Psalm 13:5	But I trust in your loving kindness. My heart rejoices in your salvation.
Psalm 13:6	I will sing to Yahweh, because he has been good to me.
Psalm 14:1	For the Chief Musician. By David. The fool has said in his heart, “There is no God.” They are corrupt. They have done abominable works. There is none who does good.
Psalm 14:2	Yahweh looked down from heaven on the children of men, to see if there were any who understood, who sought after God.
Psalm 14:3	They have all gone aside. They have together become corrupt. There is none who does good, no, not one.
Psalm 14:4	Have all the workers of iniquity no knowledge, who eat up my people as they eat bread, and don’t call on Yahweh?
Psalm 14:5	There they were in great fear, for God is in the generation of the righteous.
Psalm 14:6	You frustrate the plan of the poor, because Yahweh is his refuge.
Psalm 14:7	Oh that the salvation of Israel would come out of Zion! When Yahweh restores the fortunes of his people, then Jacob shall rejoice, and Israel shall be glad.
Psalm 15:1	A Psalm by David. Yahweh, who shall dwell in your sanctuary? Who shall live on your holy hill?
Psalm 15:2	He who walks blamelessly does what is right, and speaks truth in his heart;
Psalm 15:3	He who doesn’t slander with his tongue, nor does evil to his friend, nor casts slurs against his fellow man;
Psalm 15:4	In whose eyes a vile man is despised, but who honors those who fear Yahweh; he who keeps an oath even when it hurts, and doesn’t change;
Psalm 15:5	he who doesn’t lend out his money for usury, nor take a bribe against the innocent. He who does these things shall never be shaken.
Psalm 16:1	A Poem by David. Preserve me, God, for in you do I take refuge.
Psalm 16:2	My soul, you have said to Yahweh, “You are my Lord. Apart from you I have no good thing.”
Psalm 16:3	As for the saints who are in the earth, they are the excellent ones in whom is all my delight.
Psalm 16:4	Their sorrows shall be multiplied who give gifts to another god. Their drink offerings of blood I will not offer, nor take their names on my lips.
Psalm 16:5	Yahweh assigned my portion and my cup. You made my lot secure.
Psalm 16:6	The lines have fallen to me in pleasant places. Yes, I have a good inheritance.
Psalm 16:7	I will bless Yahweh, who has given me counsel. Yes, my heart instructs me in the night seasons.
Psalm 16:8	I have set Yahweh always before me. Because he is at my right hand, I shall not be moved.
Psalm 16:9	Therefore my heart is glad, and my tongue rejoices. My body shall also dwell in safety.
Psalm 16:10	For you will not leave my soul in Sheol, neither will you allow your holy one to see corruption.
Psalm 16:11	You will show me the path of life. In your presence is fullness of joy. In your right hand there are pleasures forevermore.
Psalm 17:1	A Prayer by David. Hear, Yahweh, my righteous plea; Give ear to my prayer, that doesn’t go out of deceitful lips.
Psalm 17:2	Let my sentence come forth from your presence. Let your eyes look on equity.
Psalm 17:3	You have proved my heart. You have visited me in the night. You have tried me, and found nothing. I have resolved that my mouth shall not disobey.
Psalm 17:4	As for the works of men, by the word of your lips, I have kept myself from the ways of the violent.
Psalm 17:5	My steps have held fast to your paths. My feet have not slipped.
Psalm 17:6	I have called on you, for you will answer me, God. Turn your ear to me. Hear my speech.
Psalm 17:7	Show your marvelous loving kindness, you who save those who take refuge by your right hand from their enemies.
Psalm 17:8	Keep me as the apple of your eye. Hide me under the shadow of your wings,
Psalm 17:9	from the wicked who oppress me, my deadly enemies, who surround me.
Psalm 17:10	They close up their callous hearts. With their mouth they speak proudly.
Psalm 17:11	They have now surrounded us in our steps. They set their eyes to cast us down to the earth.
Psalm 17:12	He is like a lion that is greedy of his prey, as it were a young lion lurking in secret places.
Psalm 17:13	Arise, Yahweh, confront him. Cast him down. Deliver my soul from the wicked by your sword;
Psalm 17:14	from men by your hand, Yahweh, from men of the world, whose portion is in this life. You fill the belly of your cherished ones. Your sons have plenty, and they store up wealth for their children.
Psalm 17:15	As for me, I shall see your face in righteousness. I shall be satisfied, when I awake, with seeing your form.
Psalm 18:1	For the Chief Musician. By David the servant of Yahweh, who spoke to Yahweh the words of this song in the day that Yahweh delivered him from the hand of all his enemies, and from the hand of Saul. He said, I love you, Yahweh, my strength.
Psalm 18:2	Yahweh is my rock, my fortress, and my deliverer; my God, my rock, in whom I take refuge; my shield, and the horn of my salvation, my high tower.
Psalm 18:3	I call on Yahweh, who is worthy to be praised; and I am saved from my enemies.
Psalm 18:4	The cords of death surrounded me. The floods of ungodliness made me afraid.
Psalm 18:5	The cords of Sheol were around me. The snares of death came on me.
Psalm 18:6	In my distress I called on Yahweh, and cried to my God. He heard my voice out of his temple. My cry before him came into his ears.
Psalm 18:7	Then the earth shook and trembled. The foundations also of the mountains quaked and were shaken, because he was angry.
Psalm 18:8	Smoke went out of his nostrils. Consuming fire came out of his mouth. Coals were kindled by it.
Psalm 18:9	He bowed the heavens also, and came down. Thick darkness was under his feet.
Psalm 18:10	He rode on a cherub, and flew. Yes, he soared on the wings of the wind.
Psalm 18:11	He made darkness his hiding place, his pavilion around him, darkness of waters, thick clouds of the skies.
Psalm 18:12	At the brightness before him his thick clouds passed, hailstones and coals of fire.
Psalm 18:13	Yahweh also thundered in the sky. The Most High uttered his voice: hailstones and coals of fire.
Psalm 18:14	He sent out his arrows, and scattered them; Yes, great lightning bolts, and routed them.
Psalm 18:15	Then the channels of waters appeared. The foundations of the world were laid bare at your rebuke, Yahweh, at the blast of the breath of your nostrils.
Psalm 18:16	He sent from on high. He took me. He drew me out of many waters.
Psalm 18:17	He delivered me from my strong enemy, from those who hated me; for they were too mighty for me.
Psalm 18:18	They came on me in the day of my calamity, but Yahweh was my support.
Psalm 18:19	He brought me forth also into a large place. He delivered me, because he delighted in me.
Psalm 18:20	Yahweh has rewarded me according to my righteousness. According to the cleanness of my hands has he recompensed me.
Psalm 18:21	For I have kept the ways of Yahweh, and have not wickedly departed from my God.
Psalm 18:22	For all his ordinances were before me. I didn’t put away his statutes from me.
Psalm 18:23	I was also blameless with him. I kept myself from my iniquity.
Psalm 18:24	Therefore Yahweh has rewarded me according to my righteousness, according to the cleanness of my hands in his eyesight.
Psalm 18:25	With the merciful you will show yourself merciful. With the perfect man, you will show yourself perfect.
Psalm 18:26	With the pure, you will show yourself pure. With the crooked you will show yourself shrewd.
Psalm 18:27	For you will save the afflicted people, but the haughty eyes you will bring down.
Psalm 18:28	For you will light my lamp, Yahweh. My God will light up my darkness.
Psalm 18:29	For by you, I advance through a troop. By my God, I leap over a wall.
Psalm 18:30	As for God, his way is perfect. The word of Yahweh is tried. He is a shield to all those who take refuge in him.
Psalm 18:31	For who is God, except Yahweh? Who is a rock, besides our God,
Psalm 18:32	the God who arms me with strength, and makes my way perfect?
Psalm 18:33	He makes my feet like deer’s feet, and sets me on my high places.
Psalm 18:34	He teaches my hands to war, so that my arms bend a bow of bronze.
Psalm 18:35	You have also given me the shield of your salvation. Your right hand sustains me. Your gentleness has made me great.
Psalm 18:36	You have enlarged my steps under me, My feet have not slipped.
Psalm 18:37	I will pursue my enemies, and overtake them. Neither will I turn again until they are consumed.
Psalm 18:38	I will strike them through, so that they will not be able to rise. They shall fall under my feet.
Psalm 18:39	For you have armed me with strength to the battle. You have subdued under me those who rose up against me.
Psalm 18:40	You have also made my enemies turn their backs to me, that I might cut off those who hate me.
Psalm 18:41	They cried, but there was none to save; even to Yahweh, but he didn’t answer them.
Psalm 18:42	Then I beat them small as the dust before the wind. I cast them out as the mire of the streets.
Psalm 18:43	You have delivered me from the strivings of the people. You have made me the head of the nations. A people whom I have not known shall serve me.
Psalm 18:44	As soon as they hear of me they shall obey me. The foreigners shall submit themselves to me.
Psalm 18:45	The foreigners shall fade away, and shall come trembling out of their close places.
Psalm 18:46	Yahweh lives; and blessed be my rock. Exalted be the God of my salvation,
Psalm 18:47	even the God who executes vengeance for me, and subdues peoples under me.
Psalm 18:48	He rescues me from my enemies. Yes, you lift me up above those who rise up against me. You deliver me from the violent man.
Psalm 18:49	Therefore I will give thanks to you, Yahweh, among the nations, and will sing praises to your name.
Psalm 18:50	He gives great deliverance to his king, and shows loving kindness to his anointed, to David and to his seed, forevermore.
Psalm 19:1	For the Chief Musician. A Psalm by David. The heavens declare the glory of God. The expanse shows his handiwork.
Psalm 19:2	Day after day they pour forth speech, and night after night they display knowledge.
Psalm 19:3	There is no speech nor language, where their voice is not heard.
Psalm 19:4	Their voice has gone out through all the earth, their words to the end of the world. In them he has set a tent for the sun,
Psalm 19:5	which is as a bridegroom coming out of his room, like a strong man rejoicing to run his course.
Psalm 19:6	His going forth is from the end of the heavens, his circuit to its ends; There is nothing hidden from its heat.
Psalm 19:7	Yahweh’s law is perfect, restoring the soul. Yahweh’s testimony is sure, making wise the simple.
Psalm 19:8	Yahweh’s precepts are right, rejoicing the heart. Yahweh’s commandment is pure, enlightening the eyes.
Psalm 19:9	The fear of Yahweh is clean, enduring forever. Yahweh’s ordinances are true, and righteous altogether.
Psalm 19:10	More to be desired are they than gold, yes, than much fine gold; sweeter also than honey and the extract of the honeycomb.
Psalm 19:11	Moreover by them is your servant warned. In keeping them there is great reward.
Psalm 19:12	Who can discern his errors? Forgive me from hidden errors.
Psalm 19:13	Keep back your servant also from presumptuous sins. Let them not have dominion over me. Then I will be upright. I will be blameless and innocent of great transgression.
Psalm 19:14	Let the words of my mouth and the meditation of my heart be acceptable in your sight, Yahweh, my rock, and my redeemer.
Psalm 20:1	For the Chief Musician. A Psalm by David. May Yahweh answer you in the day of trouble. May the name of the God of Jacob set you up on high,
Psalm 20:2	send you help from the sanctuary, grant you support from Zion,
Psalm 20:3	remember all your offerings, and accept your burnt sacrifice. Selah.
Psalm 20:4	May He grant you your heart’s desire, and fulfill all your counsel.
Psalm 20:5	We will triumph in your salvation. In the name of our God, we will set up our banners. May Yahweh grant all your requests.
Psalm 20:6	Now I know that Yahweh saves his anointed. He will answer him from his holy heaven, with the saving strength of his right hand.
Psalm 20:7	Some trust in chariots, and some in horses, but we trust the name of Yahweh our God.
Psalm 20:8	They are bowed down and fallen, but we rise up, and stand upright.
Psalm 20:9	Save, Yahweh! Let the King answer us when we call!
Psalm 21:1	For the Chief Musician. A Psalm by David. The king rejoices in your strength, Yahweh! How greatly he rejoices in your salvation!
Psalm 21:2	You have given him his heart’s desire, and have not withheld the request of his lips. Selah.
Psalm 21:3	For you meet him with the blessings of goodness. You set a crown of fine gold on his head.
Psalm 21:4	He asked life of you, you gave it to him, even length of days forever and ever.
Psalm 21:5	His glory is great in your salvation. You lay honor and majesty on him.
Psalm 21:6	For you make him most blessed forever. You make him glad with joy in your presence.
Psalm 21:7	For the king trusts in Yahweh. Through the loving kindness of the Most High, he shall not be moved.
Psalm 21:8	Your hand will find out all of your enemies. Your right hand will find out those who hate you.
Psalm 21:9	You will make them as a fiery furnace in the time of your anger. Yahweh will swallow them up in his wrath. The fire shall devour them.
Psalm 21:10	You will destroy their descendants from the earth, their posterity from among the children of men.
Psalm 21:11	For they intended evil against you. They plotted evil against you which cannot succeed.
Psalm 21:12	For you will make them turn their back, when you aim drawn bows at their face.
Psalm 21:13	Be exalted, Yahweh, in your strength, so we will sing and praise your power.
Psalm 22:1	For the Chief Musician; set to “The Doe of the Morning.” A Psalm by David. My God, my God, why have you forsaken me? Why are you so far from helping me, and from the words of my groaning?
Psalm 22:2	My God, I cry in the daytime, but you don’t answer; in the night season, and am not silent.
Psalm 22:3	But you are holy, you who inhabit the praises of Israel.
Psalm 22:4	Our fathers trusted in you. They trusted, and you delivered them.
Psalm 22:5	They cried to you, and were delivered. They trusted in you, and were not disappointed.
Psalm 22:6	But I am a worm, and no man; a reproach of men, and despised by the people.
Psalm 22:7	All those who see me mock me. They insult me with their lips. They shake their heads, saying,
Psalm 22:8	“He trusts in Yahweh; let him deliver him. Let him rescue him, since he delights in him.”
Psalm 22:9	But you brought me out of the womb. You made me trust at my mother’s breasts.
Psalm 22:10	I was thrown on you from my mother’s womb. You are my God since my mother bore me.
Psalm 22:11	Don’t be far from me, for trouble is near. For there is none to help.
Psalm 22:12	Many bulls have surrounded me. Strong bulls of Bashan have encircled me.
Psalm 22:13	They open their mouths wide against me, lions tearing prey and roaring.
Psalm 22:14	I am poured out like water. All my bones are out of joint. My heart is like wax; it is melted within me.
Psalm 22:15	My strength is dried up like a potsherd. My tongue sticks to the roof of my mouth. You have brought me into the dust of death.
Psalm 22:16	For dogs have surrounded me. A company of evildoers have enclosed me. They have pierced my hands and feet.
Psalm 22:17	I can count all of my bones. They look and stare at me.
Psalm 22:18	They divide my garments among them. They cast lots for my clothing.
Psalm 22:19	But don’t be far off, Yahweh. You are my help: hurry to help me.
Psalm 22:20	Deliver my soul from the sword, my precious life from the power of the dog.
Psalm 22:21	Save me from the lion’s mouth! Yes, from the horns of the wild oxen, you have answered me.
Psalm 22:22	I will declare your name to my brothers. In the midst of the assembly, I will praise you.
Psalm 22:23	You who fear Yahweh, praise him! All you descendants of Jacob, glorify him! Stand in awe of him, all you descendants of Israel!
Psalm 22:24	For he has not despised nor abhorred the affliction of the afflicted, Neither has he hidden his face from him; but when he cried to him, he heard.
Psalm 22:25	Of you comes my praise in the great assembly. I will pay my vows before those who fear him.
Psalm 22:26	The humble shall eat and be satisfied. They shall praise Yahweh who seek after him. Let your hearts live forever.
Psalm 22:27	All the ends of the earth shall remember and turn to Yahweh. All the relatives of the nations shall worship before you.
Psalm 22:28	For the kingdom is Yahweh’s. He is the ruler over the nations.
Psalm 22:29	All the rich ones of the earth shall eat and worship. All those who go down to the dust shall bow before him, even he who can’t keep his soul alive.
Psalm 22:30	Posterity shall serve him. Future generations shall be told about the Lord.
Psalm 22:31	They shall come and shall declare his righteousness to a people that shall be born, for he has done it.
Psalm 23:1	A Psalm by David. Yahweh is my shepherd: I shall lack nothing.
Psalm 23:2	He makes me lie down in green pastures. He leads me beside still waters.
Psalm 23:3	He restores my soul. He guides me in the paths of righteousness for his name’s sake.
Psalm 23:4	Even though I walk through the valley of the shadow of death, I will fear no evil, for you are with me. Your rod and your staff, they comfort me.
Psalm 23:5	You prepare a table before me in the presence of my enemies. You anoint my head with oil. My cup runs over.
Psalm 23:6	Surely goodness and loving kindness shall follow me all the days of my life, and I will dwell in Yahweh’s house forever.
Psalm 24:1	A Psalm by David. The earth is Yahweh’s, with its fullness; the world, and those who dwell therein.
Psalm 24:2	For he has founded it on the seas, and established it on the floods.
