1	Then Job answered the LORD, and said:
Psalm 9:10	And they that know Thy name will put their trust in Thee; For thou, LORD, hast not forsaken them that seek Thee.
Psalm 9:11	Sing praises to the LORD, who dwelleth in Zion; Declare among the peoples His doings.
Psalm 9:12	For He that avengeth blood hath remembered them; He hath not forgotten the cry of the humble.
Psalm 9:13	Be gracious unto me, O LORD, Behold mine affliction at the hands of them that hate me; Thou that liftest me up from the gates of death;
Psalm 9:14	That I may tell of all Thy praise in the gates of the daughter of Zion, That I may rejoice in Thy salvation.
Psalm 9:15	The nations are sunk down in the pit that they made; In the net which they hid is their own foot taken.
Psalm 9:16	The LORD hath made Himself known, He hath executed judgment, The wicked is snared in the work of his own hands. Higgaion. Selah
Psalm 9:17	The wicked shall return to the nether-world, Even all the nations that forget God.
Psalm 9:18	For the needy shall not alway be forgotten, Nor the expectation of the poor perish for ever.
Psalm 9:19	Arise, O LORD, let not man prevail; Let the nations be judged in Thy sight.
Psalm 9:20	Set terror over them, O LORD; Let the nations know they are but men. Selah
Psalm 10:1	Why standest Thou afar off, O LORD? Why hidest Thou Thyself in times of trouble?
Psalm 10:2	Through the pride of the wicked the poor is hotly pursued, They are taken in the devices that they have imagined.
Psalm 10:3	For the wicked boasteth of his heart’s desire, And the covetous vaunteth himself, though he contemn the LORD.
Psalm 10:4	The wicked, in the pride of his countenance [, saith]: ‘He will not require’; All his thoughts are: ‘There is no God.’
Psalm 10:5	His ways prosper at all times; Thy judgments are far above out of his sight; As for all his adversaries, he puffeth at them.
Psalm 10:6	He saith in his heart: ‘I shall not be moved, I who to all generations shall not be in adversity.’
Psalm 10:7	His mouth is full of cursing and deceit and oppression; Under his tongue is mischief and iniquity.
Psalm 10:8	He sitteth in the lurking-places of the villages; In secret places doth he slay the innocent; His eyes are on the watch for the helpless.
Psalm 10:9	He lieth in wait in a secret place as a lion in his lair, He lieth in wait to catch the poor; He doth catch the poor, when he draweth him up in his net.
Psalm 10:10	He croucheth, he boweth down, And the helpless fall into his mighty claws.
Psalm 10:11	He hath said in his heart: ‘God hath forgotten; He hideth His face; He will never see.’
Psalm 10:12	Arise, O LORD; O God, lift up Thy hand; Forget not the humble.
Psalm 10:13	Wherefore doth the wicked contemn God, And say in his heart: ‘Thou wilt not require’?
Psalm 10:14	Thou hast seen; for Thou beholdest trouble and vexation, to requite them with Thy hand; Unto Thee the helpless committeth himself; Thou hast been the helper of the fatherless.
Psalm 10:15	Break Thou the arm of the wicked; And as for the evil man, search out his wickedness, till none be found.
Psalm 10:16	The LORD is King for ever and ever; The nations are perished out of His land.
Psalm 10:17	LORD, Thou hast heard the desire of the humble: Thou wilt direct their heart, Thou wilt cause Thine ear to attend;
Psalm 10:18	To right the fatherless and the oppressed, That man who is of the earth may be terrible no more.
Psalm 11:1	For the Leader. [A Psalm] of David. In the LORD have I taken refuge; How say ye to my soul: ‘Flee thou! to your mountain, ye birds’?
Psalm 11:2	For, lo, the wicked bend the bow, They have made ready their arrow upon the string, That they may shoot in darkness at the upright in heart.
Psalm 11:3	When the foundations are destroyed, What hath the righteous wrought?
Psalm 11:4	The LORD is in His holy temple, The LORD, His throne is in heaven; His eyes behold, His eyelids try, the children of men.
Psalm 11:5	The LORD trieth the righteous; But the wicked and him that loveth violence His soul hateth.
Psalm 11:6	Upon the wicked He will cause to rain coals; Fire and brimstone and burning wind shall be the portion of their cup.
Psalm 11:7	For the LORD is righteous, He loveth righteousness; The upright shall behold His face.
Psalm 12:1	For the Leader; on the Sheminith. A Psalm of David. Help, LORD; for the godly man ceaseth; For the faithful fail from among the children of men.
Psalm 12:2	They speak falsehood every one with his neighbour; With flattering lip, and with a double heart, do they speak.
Psalm 12:3	May the LORD cut off all flattering lips, The tongue that speaketh proud things!
Psalm 12:4	Who have said: ‘Our tongue will we make mighty; Our lips are with us: who is lord over us?’
Psalm 12:5	For the oppression of the poor, for the sighing of the needy, Now will I arise’, saith the LORD; ‘I will set him in safety at whom they puff.’
Psalm 12:6	The words of the LORD are pure words, As silver tried in a crucible on the earth, refined seven times.
Psalm 12:7	Thou wilt keep them, O LORD; Thou wilt preserve us from this generation for ever.
Psalm 12:8	The wicked walk on every side, When vileness is exalted among the sons of men.
Psalm 13:1	For the Leader. A Psalm of David. How long, O LORD, wilt Thou forget me for ever? How long wilt Thou hide Thy face from me?
Psalm 13:2	How long shall I take counsel in my soul, having sorrow in my heart by day? How long shall mine enemy be exalted over me?
Psalm 13:3	Behold Thou, and answer me, O LORD my God; Lighten mine eyes, lest I sleep the sleep of death;
Psalm 13:4	Lest mine enemy say: ‘I have prevailed against him’; Lest mine adversaries rejoice when I am moved.
Psalm 13:5	But as for me, in Thy mercy do I trust; My heart shall rejoice in Thy salvation.
Psalm 13:6	I will sing unto the LORD, Because He hath dealt bountifully with me.
Psalm 14:1	For the Leader. [A Psalm] of David. The fool hath said in his heart: ‘There is no God’; They have dealt corruptly, they have done abominably; There is none that doeth good.
Psalm 14:2	The LORD looked forth from heaven upon the children of men, To see if there were any man of understanding, that did seek after God.
Psalm 14:3	They are all corrupt, they are together become impure; There is none that doeth good, no, not one.
Psalm 14:4	Shall not all the workers of iniquity know it, Who eat up My people as they eat bread, And call not upon the LORD?’
Psalm 14:5	There are they in great fear; For God is with the righteous generation.
Psalm 14:6	Ye would put to shame the counsel of the poor, But the LORD is his refuge.
Psalm 14:7	Oh that the salvation of Israel were come out of Zion! When the LORD turneth the captivity of His people, Let Jacob rejoice, let Israel be glad.
Psalm 15:1	A Psalm of David. LORD, who shall sojourn in Thy tabernacle? Who shall dwell upon Thy holy mountain?
Psalm 15:2	He that walketh uprightly, and worketh righteousness, And speaketh truth in his heart;
Psalm 15:3	That hath no slander upon his tongue, Nor doeth evil to his fellow, Nor taketh up a reproach against his neighbour;
Psalm 15:4	In whose eyes a vile person is despised, But he honoureth them that fear the LORD; He that sweareth to his own hurt, and changeth not;
Psalm 15:5	He that putteth not out his money on interest, Nor taketh a bribe against the innocent. He that doeth these things shall never be moved.
Psalm 16:1	Michtam of David. Keep me, O God; for I have taken refuge in Thee.
Psalm 16:2	I have said unto the LORD: ‘Thou art my Lord; I have no good but in Thee’;
Psalm 16:3	As for the holy that are in the earth, They are the excellent in whom is all my delight.
Psalm 16:4	Let the idols of them be multiplied that make suit unto another; Their drink-offerings of blood will I not offer, Nor take their names upon my lips.
Psalm 16:5	O LORD, the portion of mine inheritance and of my cup, Thou maintainest my lot.
Psalm 16:6	The lines are fallen unto me in pleasant places; Yea, I have a goodly heritage.
Psalm 16:7	I will bless the LORD, who hath given me counsel; Yea, in the night seasons my reins instruct me.
Psalm 16:8	I have set the LORD always before me; Surely He is at my right hand, I shall not be moved.
Psalm 16:9	Therefore my heart is glad, and my glory rejoiceth; my flesh also dwelleth in safety;
Psalm 16:10	For Thou wilt not abandon my soul to the nether-world; Neither wilt Thou suffer Thy godly one to see the pit.
Psalm 16:11	Thou makest me to know the path of life; In Thy presence is fulness of joy, In Thy right hand bliss for evermore.
Psalm 17:1	A Prayer of David. Hear the right, O LORD, attend unto my cry; Give ear unto my prayer from lips without deceit.
Psalm 17:2	Let my judgment come forth from Thy presence; Let Thine eyes behold equity.
Psalm 17:3	Thou hast tried my heart, Thou hast visited it in the night; Thou hast tested me, and Thou findest not That I had a thought which should not pass my mouth.
Psalm 17:4	As for the doings of men, by the word of Thy lips I have kept me from the ways of the violent.
Psalm 17:5	My steps have held fast to Thy paths, My feet have not slipped.
Psalm 17:6	As for me, I call upon Thee, for Thou wilt answer me, O God; Incline Thine ear unto me, hear my speech.
Psalm 17:7	Make passing great Thy mercies, O Thou that savest by Thy right hand From assailants them that take refuge in Thee.
Psalm 17:8	Keep me as the apple of the eye, Hide me in the shadow of Thy wings,
Psalm 17:9	From the wicked that oppress, My deadly enemies, that compass me about.
Psalm 17:10	Their gross heart they have shut tight, With their mouth they speak proudly.
Psalm 17:11	At our every step they have now encompassed us; They set their eyes to cast us down to the earth.
Psalm 17:12	He is like a lion that is eager to tear in pieces, And like a young lion lurking in secret places.
Psalm 17:13	Arise, O LORD, confront him, cast him down; Deliver my soul from the wicked, by Thy sword;
Psalm 17:14	From men, by Thy hand, O LORD, From men of the world, whose portion is in this life, And whose belly Thou fillest with Thy treasure; Who have children in plenty, And leave their abundance to their babes.
Psalm 17:15	As for me, I shall behold Thy face in righteousness; I shall be satisfied, when I awake, with Thy likeness.
Psalm 18:1	For the Leader. [A Psalm] of David the servant of the LORD, who spoke unto the LORD the words of this song in the day that the LORD delivered him from the hand of all his enemies, and from the hand of Saul; And he said: I love thee, O LORD, my strength.
Psalm 18:2	The LORD is my rock, and my fortress, and my deliverer; My God, my rock, in Him I take refuge; My shield, and my horn of salvation, my high tower.
Psalm 18:3	Praised, I cry, is the LORD, And I am saved from mine enemies.
Psalm 18:4	The cords of Death compassed me, And the floods of Belial assailed me.
Psalm 18:5	The cords of Sheol surrounded me; The snares of Death confronted me.
Psalm 18:6	In my distress I called upon the LORD, And cried unto my God; Out of His temple He heard my voice, And my cry came before Him unto His ears.
Psalm 18:7	Then the earth did shake and quake, The foundations also of the mountains did tremble; They were shaken, because He was wroth.
Psalm 18:8	Smoke arose up in His nostrils, And fire out of His mouth did devour; Coals flamed forth from Him.
Psalm 18:9	He bowed the heavens also, and came down; And thick darkness was under His feet.
Psalm 18:10	And He rode upon a cherub, and did fly; Yea, He did swoop down upon the wings of the wind.
Psalm 18:11	He made darkness His hiding-place, His pavilion round about Him; Darkness of waters, thick clouds of the skies.
Psalm 18:12	At the brightness before Him, there passed through His thick clouds Hailstones and coals of fire.
Psalm 18:13	The LORD also thundered in the heavens, And the Most High gave forth His voice; Hailstones and coals of fire.
Psalm 18:14	And He sent out His arrows, and scattered them; And He shot forth lightnings, and discomfited them.
Psalm 18:15	And the channels of waters appeared, And the foundations of the world were laid bare, At Thy rebuke, O LORD, At the blast of the breath of Thy nostrils.
Psalm 18:16	He sent from on high, He took me; He drew me out of many waters.
Psalm 18:17	He delivered me from mine enemy most strong, And from them that hated me, for they were too mighty for me.
Psalm 18:18	They confronted me in the day of my calamity; But the LORD was a stay unto me.
Psalm 18:19	He brought me forth also into a large place; He delivered me, because He delighted in me.
Psalm 18:20	The LORD rewarded me according to my righteousness; According to the cleanness of my hands hath He recompensed me.
Psalm 18:21	For I have kept the ways of the LORD, And have not wickedly departed from my God.
Psalm 18:22	For all His ordinances were before me, And I put not away His statutes from me.
Psalm 18:23	And I was single-hearted with Him, And I kept myself from mine iniquity.
Psalm 18:24	Therefore hath the LORD recompensed me according to my righteousness, According to the cleanness of my hands in His eyes.
Psalm 18:25	With the merciful Thou dost show Thyself merciful, With the upright man Thou dost show Thyself upright;
Psalm 18:26	With the pure Thou dost show Thyself pure; And with the crooked Thou dost show Thyself subtle.
Psalm 18:27	For Thou dost save the afflicted people; But the haughty eyes Thou dost humble.
Psalm 18:28	For Thou dost light my lamp; The LORD my God doth lighten my darkness.
Psalm 18:29	For by Thee I run upon a troop; And by my God do I scale a wall.
Psalm 18:30	As for God, His way is perfect; The word of the LORD is tried; He is a shield unto all them that take refuge in Him.
Psalm 18:31	For who is God, save the LORD? And who is a Rock, except our God?
Psalm 18:32	The God that girdeth me with strength, And maketh my way straight;
Psalm 18:33	Who maketh my feet like hinds’, And setteth me upon my high places;
Psalm 18:34	Who traineth my hands for war, So that mine arms do bend a bow of brass.
Psalm 18:35	Thou hast also given me Thy shield of salvation, And Thy right hand hath holden me up; And Thy condescension hath made me great.
Psalm 18:36	Thou hast enlarged my steps under me, And my feet have not slipped.
Psalm 18:37	I have pursued mine enemies, and overtaken them; Neither did I turn back till they were consumed.
Psalm 18:38	I have smitten them through, so that they are not able to rise; They are fallen under my feet.
Psalm 18:39	For Thou hast girded me with strength unto the battle; Thou hast subdued under me those that rose up against me.
Psalm 18:40	Thou hast also made mine enemies turn their backs unto me, And I did cut off them that hate me.
Psalm 18:41	They cried, but there was none to save; Even unto the LORD, but He answered them not.
Psalm 18:42	Then did I beat them small as the dust before the wind; I did cast them out as the mire of the streets.
Psalm 18:43	Thou hast delivered me from the contentions of the people; Thou hast made me the head of the nations; A people whom I have not known serve me.
Psalm 18:44	As soon as they hear of me, they obey me; The sons of the stranger dwindle away before me.
Psalm 18:45	The sons of the stranger fade away, And come trembling out of their close places.
Psalm 18:46	The LORD liveth, and blessed be my Rock; And exalted be the God of my salvation;
Psalm 18:47	Even the God that executeth vengeance for me, And subdueth peoples under me.
Psalm 18:48	He delivereth me from mine enemies; Yea, Thou liftest me up above them that rise up against me; Thou deliverest me from the violent man.
Psalm 18:49	Therefore I will give thanks unto Thee, O LORD, among the nations, And will sing praises unto Thy name.
Psalm 18:50	Great salvation giveth He to His king; And showeth mercy to His anointed, To David and to his seed, for evermore.
Psalm 19:1	For the Leader. A Psalm of David. The heavens declare the glory of God, And the firmament showeth His handiwork;
Psalm 19:2	Day unto day uttereth speech, And night unto night revealeth knowledge;
Psalm 19:3	There is no speech, there are no words, Neither is their voice heard.
Psalm 19:4	Their line is gone out through all the earth, And their words to the end of the world. In them hath He set a tent for the sun,
Psalm 19:5	Which is as a bridegroom coming out of his chamber, And rejoiceth as a strong man to run his course.
Psalm 19:6	His going forth is from the end of the heaven, And his circuit unto the ends of it; And there is nothing hid from the heat thereof.
Psalm 19:7	The law of the LORD is perfect, restoring the soul; The testimony of the LORD is sure, making wise the simple.
Psalm 19:8	The precepts of the LORD are right, rejoicing the heart; The commandment of the LORD is pure, enlightening the eyes.
Psalm 19:9	The fear of the LORD is clean, enduring for ever; The ordinances of the LORD are true, they are righteous altogether;
Psalm 19:10	More to be desired are they than gold, yea, than much fine gold; Sweeter also than honey and the honeycomb.
Psalm 19:11	Moreover by them is Thy servant warned; In keeping of them there is great reward.
Psalm 19:12	Who can discern his errors? Clear Thou me from hidden faults.
Psalm 19:13	Keep back Thy servant also from presumptuous sins, That they may not have dominion over me; then shall I be faultless, And I shall be clear from great transgression.
Psalm 19:14	Let the words of my mouth and the meditation of my heart be acceptable before Thee, O LORD, my Rock, and my Redeemer.
Psalm 20:1	For the Leader. A Psalm of David. The LORD answer thee in the day of trouble; The name of the God of Jacob set thee up on high;
Psalm 20:2	Send forth thy help from the sanctuary, And support thee out of Zion;
Psalm 20:3	Receive the memorial of all thy meal-offerings, And accept the fat of thy burnt-sacrifice; Selah
Psalm 20:4	Grant thee according to thine own heart, And fulfil all thy counsel.
Psalm 20:5	We will shout for joy in thy victory, And in the name of our God we will set up our standards; The LORD fulfil all thy petitions.
Psalm 20:6	Now know I that the LORD saveth His anointed; He will answer him from His holy heaven With the mighty acts of His saving right hand.
Psalm 20:7	Some trust in chariots, and some in horses; But we will make mention of the name of the LORD our God.
Psalm 20:8	They are bowed down and fallen; But we are risen, and stand upright.
Psalm 20:9	Save, LORD; Let the King answer us in the day that we call.
Psalm 21:1	For the Leader. A Psalm of David. O LORD, in Thy strength the king rejoiceth; And in Thy salvation how greatly doth he exult!
Psalm 21:2	Thou hast given him his heart’s desire, And the request of his lips Thou hast not withholden. Selah
Psalm 21:3	For Thou meetest him with choicest blessings; Thou settest a crown of fine gold on his head.
Psalm 21:4	He asked life of Thee, Thou gavest it him; Even length of days for ever and ever.
Psalm 21:5	His glory is great through Thy salvation; Honour and majesty dost Thou lay upon him.
Psalm 21:6	For Thou makest him most blessed for ever; Thou makest him glad with joy in Thy presence.
Psalm 21:7	For the king trusteth in the LORD, Yea, in the mercy of the Most High; he shall not be moved.
Psalm 21:8	Thy hand shall be equal to all thine enemies; Thy right hand shall overtake those that hate thee.
Psalm 21:9	Thou shalt make them as a fiery furnace in the time of thine anger; The LORD shall swallow them up in His wrath, And the fire shall devour them.
Psalm 21:10	Their fruit shalt thou destroy from the earth, And their seed from among the children of men.
Psalm 21:11	For they intended evil against thee, They imagined a device, wherewith they shall not prevail.
Psalm 21:12	For thou shalt make them turn their back, Thou shalt make ready with thy bowstrings against the face of them.
Psalm 21:13	Be Thou exalted, O LORD, in Thy strength; So will we sing and praise Thy power.
Psalm 22:1	For the Leader; upon Aijeleth ha-Shahar. A Psalm of David. My God, my God, why hast Thou forsaken me, And art far from my help at the words of my cry?
Psalm 22:2	O my God, I call by day, but Thou answerest not; And at night, and there is no surcease for me.
Psalm 22:3	Yet Thou art holy, O Thou that art enthroned upon the praises of Israel.
Psalm 22:4	In Thee did our fathers trust; They trusted, and Thou didst deliver them.
Psalm 22:5	Unto Thee they cried, and escaped; In Thee did they trust, and were not ashamed.
Psalm 22:6	But I am a worm, and no man; A reproach of men, and despised of the people.
Psalm 22:7	All they that see me laugh me to scorn; They shoot out the lip, they shake the head:
Psalm 22:8	Let him commit himself unto the LORD! let Him rescue him; Let Him deliver him, seeing He delighteth in him.’
Psalm 22:9	For Thou art He that took me out of the womb; Thou madest me trust when I was upon my mother’s breasts.
Psalm 22:10	Upon Thee I have been cast from my birth; Thou art my God from my mother’s womb.
Psalm 22:11	Be not far from me; for trouble is near; For there is none to help.
Psalm 22:12	Many bulls have encompassed me; Strong bulls of Bashan have beset me round.
Psalm 22:13	They open wide their mouth against me, As a ravening and a roaring lion.
Psalm 22:14	I am poured out like water, And all my bones are out of joint; My heart is become like wax; It is melted in mine inmost parts.
Psalm 22:15	My strength is dried up like a potsherd; And my tongue cleaveth to my throat; And Thou layest me in the dust of death.
Psalm 22:16	For dogs have encompassed me; A company of evil-doers have inclosed me; Like a lion, they are at my hands and my feet.
Psalm 22:17	I may count all my bones; They look and gloat over me.
Psalm 22:18	They part my garments among them, And for my vesture do they cast lots.
