1	And Job answereth Jehovah and saith:—
Psalm 2:1	Why have nations tumultuously assembled? And do peoples meditate vanity?
Psalm 2:2	Station themselves do kings of the earth, And princes have been united together, Against Jehovah, and against His Messiah:
Psalm 2:3	‘Let us draw off Their cords, And cast from us Their thick bands.’
Psalm 2:4	He who is sitting in the heavens doth laugh, The Lord doth mock at them.
Psalm 2:5	Then doth He speak unto them in His anger, And in His wrath He doth trouble them:
Psalm 2:6	‘And I—I have anointed My King, Upon Zion—My holy hill.’
Psalm 2:7	I declare concerning a statute: Jehovah said unto me, ‘My Son Thou art, I to-day have brought thee forth.
Psalm 2:8	Ask of Me and I give nations—thy inheritance, And thy possession—the ends of earth.
Psalm 2:9	Thou dost rule them with a sceptre of iron, As a vessel of a potter Thou dost crush them.’
Psalm 2:10	And now, O kings, act wisely, Be instructed, O judges of earth,
Psalm 2:11	Serve ye Jehovah with fear, And rejoice with trembling.
Psalm 2:12	Kiss the Chosen One, lest He be angry, And ye lose the way, When His anger burneth but a little, O the happiness of all trusting in Him!
Psalm 3:1	A Psalm of David, in his fleeing from the face of Absalom his son. Jehovah, how have my distresses multiplied! Many are rising up against me.
Psalm 3:2	Many are saying of my soul, ‘There is no salvation for him in God.’ Selah.
Psalm 3:3	And Thou, O Jehovah, art a shield for me, My honour, and lifter up of my head.
Psalm 3:4	My voice is unto Jehovah: I call: And He answereth me from his holy hill, Selah.
Psalm 3:5	I—I have lain down, and I sleep, I have waked, for Jehovah sustaineth me.
Psalm 3:6	I am not afraid of myriads of people, That round about they have set against me.
Psalm 3:7	Rise, O Jehovah! save me, my God. Because Thou hast smitten All mine enemies on the cheek. The teeth of the wicked Thou hast broken.
Psalm 3:8	Of Jehovah is this salvation; On Thy people is Thy blessing! Selah.
Psalm 4:1	To the Overseer with Stringed Instruments.—A Psalm of David. In my calling answer Thou me, O God of my righteousness. In adversity Thou gavest enlargement to me; Favour me, and hear my prayer.
Psalm 4:2	Sons of men! till when is my glory for shame? Ye love a vain thing, ye seek a lie. Selah.
Psalm 4:3	And know ye that Jehovah Hath separated a saintly one to Himself. Jehovah heareth in my calling to Him.
Psalm 4:4	Tremble ye, and do not sin;’ Say ye thus in your heart on your bed, And be ye silent. Selah.
Psalm 4:5	Sacrifice ye sacrifices of righteousness, And trust ye unto Jehovah.
Psalm 4:6	Many are saying, ‘Who doth show us good?’ Lift on us the light of Thy face, O Jehovah,
Psalm 4:7	Thou hast given joy in my heart, From the time their corn and their wine Have been multiplied.
Psalm 4:8	In peace together I lie down and sleep, For Thou, O Jehovah, alone, In confidence dost cause me to dwell!
Psalm 5:1	To the Overseer, ‘Concerning the Inheritances.’—A Psalm of David. My sayings hear, O Jehovah, Consider my meditation.
Psalm 5:2	Be attentive to the voice of my cry, My king and my God, For unto Thee I pray habitually.
Psalm 5:3	Jehovah, at morning Thou hearest my voice, At morning I set in array for Thee, And I look out.
Psalm 5:4	For not a God desiring wickedness art Thou, Evil inhabiteth Thee not.
Psalm 5:5	The boastful station not themselves before Thine eyes: Thou hast hated all working iniquity.
Psalm 5:6	Thou destroyest those speaking lies, A man of blood and deceit Jehovah doth abominate.
Psalm 5:7	And I, in the abundance of Thy kindness, I enter Thy house, I bow myself toward Thy holy temple in Thy fear.
Psalm 5:8	O Jehovah, lead me in Thy righteousness, Because of those observing me, Make straight before me Thy way,
Psalm 5:9	For there is no stability in their mouth. Their heart is mischiefs, An open grave is their throat, Their tongue they make smooth.
Psalm 5:10	Declare them guilty, O God, Let them fall from their own counsels, In the abundance of their transgressions Drive them away, Because they have rebelled against Thee.
Psalm 5:11	And rejoice do all trusting in Thee, To the age they sing, and Thou coverest them over, And those loving Thy name exult in Thee.
Psalm 5:12	For Thou blessest the righteous, O Jehovah, As a buckler with favour dost compass him!
Psalm 6:1	To the Overseer with stringed instruments, on the octave.—A Psalm of David. O Jehovah, in Thine anger reprove me not, Nor in Thy fury chastise me.
Psalm 6:2	Favour me, O Jehovah, for I am weak, Heal me, O Jehovah, For troubled have been my bones,
Psalm 6:3	And my soul hath been troubled greatly, And Thou, O Jehovah, till when?
Psalm 6:4	Turn back, O Jehovah, draw out my soul, Save me for Thy kindness’ sake.
Psalm 6:5	For there is not in death Thy memorial, In Sheol, who doth give thanks to Thee?
Psalm 6:6	I have been weary with my sighing, I meditate through all the night on my bed, With my tear my couch I waste.
Psalm 6:7	Old from provocation is mine eye, It is old because of all mine adversaries,
Psalm 6:8	Turn from me all ye workers of iniquity, For Jehovah heard the voice of my weeping,
Psalm 6:9	Jehovah hath heard my supplication, Jehovah my prayer receiveth.
Psalm 6:10	Ashamed and troubled greatly are all mine enemies, They turn back—ashamed in a moment!
Psalm 7:1	‘The Erring One,’ by David, that he sung to Jehovah concerning the words of Cush a Benjamite. O Jehovah, my God, in Thee I have trusted, Save me from all my pursuers, and deliver me.
Psalm 7:2	Lest he tear as a lion my soul, Rending, and there is no deliverer.
Psalm 7:3	O Jehovah, my God, if I have done this, If there is iniquity in my hands,
Psalm 7:4	If I have done my well-wisher evil, And draw mine adversary without cause,
Psalm 7:5	An enemy pursueth my soul, and overtaketh, And treadeth down to the earth my life, And my honour placeth in the dust. Selah.
Psalm 7:6	Rise, O Jehovah, in Thine anger, Be lifted up at the wrath of mine adversaries, And awake Thou for me: Judgment Thou hast commanded:
Psalm 7:7	And a company of peoples compass Thee, And over it on high turn Thou back,
Psalm 7:8	Jehovah doth judge the peoples; Judge me, O Jehovah, According to my righteousness, And according to mine integrity on me,
Psalm 7:9	Let, I pray Thee be ended the evil of the wicked, And establish Thou the righteous, And a trier of hearts and reins is the righteous God.
Psalm 7:10	My shield is on God, Saviour of the upright in heart!
Psalm 7:11	God is a righteous judge, And He is not angry at all times.
Psalm 7:12	If one turn not, His sword he sharpeneth, His bow he hath trodden—He prepareth it,
Psalm 7:13	Yea, for him He hath prepared Instruments of death, His arrows for burning pursuers He maketh.
Psalm 7:14	Lo, he travaileth with iniquity, And he hath conceived perverseness, And hath brought forth falsehood.
Psalm 7:15	A pit he hath prepared, and he diggeth it, And he falleth into a ditch he maketh.
Psalm 7:16	Return doth his perverseness on his head, And on his crown his violence cometh down.
Psalm 7:17	I thank Jehovah, According to His righteousness, And praise the name of Jehovah Most High!
Psalm 8:1	To the Overseer, ‘On the Gittith.’ A Psalm of David. Jehovah, our Lord, How honourable Thy name in all the earth! Who settest thine honour on the heavens.
Psalm 8:2	From the mouths of infants and sucklings Thou hast founded strength, Because of Thine adversaries, To still an enemy and a self-avenger.
Psalm 8:3	For I see Thy heavens, a work of Thy fingers, Moon and stars that Thou didst establish.
Psalm 8:4	What is man that Thou rememberest him? The son of man that Thou inspectest him?
Psalm 8:5	And causest him to lack a little of Godhead, And with honour and majesty compassest him.
Psalm 8:6	Thou dost cause him to rule Over the works of Thy hands, All Thou hast placed under his feet.
Psalm 8:7	Sheep and oxen, all of them, And also beasts of the field,
Psalm 8:8	Bird of the heavens, and fish of the sea, Passing through the paths of the seas!
Psalm 8:9	Jehovah, our Lord, How honourable Thy name in all the earth!
Psalm 9:1	To the Overseer, ‘On the Death of Labben.’—A Psalm of David. I confess, O Jehovah, with all my heart, I recount all Thy wonders,
Psalm 9:2	I rejoice and exult in Thee, I praise Thy Name, O Most High.
Psalm 9:3	In mine enemies turning backward, they stumble and perish from Thy face.
Psalm 9:4	For Thou hast done my judgment and my right. Thou hast sat on a throne, A judge of righteousness.
Psalm 9:5	Thou hast rebuked nations, Thou hast destroyed the wicked, Their name Thou hast blotted out to the age and for ever.
Psalm 9:6	O thou Enemy, Finished have been destructions for ever, As to cities thou hast plucked up, Perished hath their memorial with them.
Psalm 9:7	And Jehovah to the age abideth, He is preparing for judgment His throne.
Psalm 9:8	And He judgeth the world in righteousness, He judgeth the peoples in uprightness.
Psalm 9:9	And Jehovah is a tower for the bruised, A tower for times of adversity.
Psalm 9:10	They trust in Thee who do know Thy name, For Thou hast not forsaken Those seeking Thee, O Jehovah.
Psalm 9:11	Sing ye praise to Jehovah, inhabiting Zion, Declare ye among the peoples His acts,
Psalm 9:12	For He who is seeking for blood Them hath remembered, He hath not forgotten the cry of the afflicted.
Psalm 9:13	Favour me, O Jehovah, See mine affliction by those hating me, Thou who liftest me up from the gates of death,
Psalm 9:14	So that I recount all Thy praise, In the gates of the daughter of Zion. I rejoice on Thy salvation.
Psalm 9:15	Sunk have nations in a pit they made, In a net that they hid hath their foot been captured.
Psalm 9:16	Jehovah hath been known, Judgment He hath done, By a work of his hands Hath the wicked been snared. Meditation. Selah.
Psalm 9:17	The wicked do turn back to Sheol, All nations forgetting God.
Psalm 9:18	For not for ever is the needy forgotten, The hope of the humble lost to the age.
Psalm 9:19	Rise, O Jehovah, let not man be strong, Let nations be judged before Thy face.
Psalm 9:20	Appoint, O Jehovah, a director to them, Let nations know they are men! Selah.
Psalm 10:1	Why, Jehovah, dost Thou stand at a distance? Thou dost hide in times of adversity,
Psalm 10:2	Through the pride of the wicked, Is the poor inflamed, They are caught in devices that they devised.
Psalm 10:3	Because the wicked hath boasted Of the desire of his soul, And a dishonest gainer he hath blessed, He hath despised Jehovah.
Psalm 10:4	The wicked according to the height of his face, inquireth not. ‘God is not!’ are all his devices.
Psalm 10:5	Pain do his ways at all times, On high are Thy judgments before him, All his adversaries—he puffeth at them.
Psalm 10:6	He hath said in his heart, ‘I am not moved,’ To generation and generation not in evil.
Psalm 10:7	Of oaths his mouth is full, And deceits, and fraud: Under his tongue is perverseness and iniquity,
Psalm 10:8	He doth sit in an ambush of the villages, In secret places he doth slay the innocent. His eyes for the afflicted watch secretly,
Psalm 10:9	He lieth in wait in a secret place, as a lion in a covert. He lieth in wait to catch the poor, He catcheth the poor, drawing him into his net.
Psalm 10:10	He is bruised—he boweth down, Fallen by his mighty ones hath the afflicted.
Psalm 10:11	He said in his heart, ‘God hath forgotten, He hath hid His face, He hath never seen.’
Psalm 10:12	Arise, O Jehovah! O God, lift up Thy hand! Forget not the humble.
Psalm 10:13	Wherefore hath the wicked despised God? He hath said in his heart, ‘It is not required.’
Psalm 10:14	Thou hast seen, For Thou perverseness and anger beholdest; By giving into Thy hand, On Thee doth the afflicted leave it, Of the fatherless Thou hast been an helper.
Psalm 10:15	Break the arm of the wicked and the evil, Seek out his wickedness, find none;
Psalm 10:16	Jehovah is king to the age, and for ever, The nations have perished out of His land!
Psalm 10:17	The desire of the humble Thou hast heard, O Jehovah. Thou preparest their heart; Thou causest Thine ear to attend,
Psalm 10:18	To judge the fatherless and bruised: He addeth no more to oppress—man of the earth!
Psalm 11:1	To the Overseer.—By David. In Jehovah I trusted, how say ye to my soul, ‘They moved to Thy mountain for the bird?
Psalm 11:2	For lo, the wicked tread a bow, They have prepared their arrow on the string, To shoot in darkness at the upright in heart.
Psalm 11:3	When the foundations are destroyed, The righteous—what hath he done?
Psalm 11:4	Jehovah is in his holy temple: Jehovah—in the heavens is His throne. His eyes see—His eyelids try the sons of men.
Psalm 11:5	Jehovah the righteous doth try. And the wicked and the lover of violence, Hath His soul hated,
Psalm 11:6	He poureth on the wicked snares, fire, and brimstone, And a horrible wind is the portion of their cup.
Psalm 11:7	For righteous is Jehovah, Righteousness He hath loved, The upright doth His countenance see!’
Psalm 12:1	To the Overseer, on the octave.—A Psalm of David. Save, Jehovah, for the saintly hath failed, For the stedfast have ceased From the sons of men:
Psalm 12:2	Vanity they speak each with his neighbour, Lip of flattery! With heart and heart they speak.
Psalm 12:3	Jehovah doth cut off all lips of flattery, A tongue speaking great things,
Psalm 12:4	Who said, ‘By our tongue we do mightily: Our lips are our own; who is lord over us?’
Psalm 12:5	Because of the spoiling of the poor, Because of the groaning of the needy, Now do I arise, saith Jehovah, I set in safety him who doth breathe for it.
Psalm 12:6	Sayings of Jehovah are pure sayings; Silver tried in a furnace of earth refined sevenfold.
Psalm 12:7	Thou, O Jehovah, dost preserve them, Thou keepest us from this generation to the age.
Psalm 12:8	Around the wicked walk continually, According as vileness is exalted by sons of men!
Psalm 13:1	To the Overseer.—A Psalm of David. Till when, O Jehovah, Dost Thou forget me?—for ever? Till when dost Thou hide Thy face from me?
Psalm 13:2	Till when do I set counsels in my soul? Sorrow in my heart daily? Till when is mine enemy exalted over me?
Psalm 13:3	Look attentively; Answer me, O Jehovah, my God, Enlighten mine eyes, lest I sleep in death,
Psalm 13:4	Lest mine enemy say, ‘I overcame him,’ Mine adversaries joy when I am moved.
Psalm 13:5	And I, in Thy kindness I have trusted, Rejoice doth my heart in Thy salvation.
Psalm 13:6	I do sing to Jehovah, For He hath conferred benefits upon me!
Psalm 14:1	To the Overseer.—By David. A fool hath said in his heart, ‘God is not;’ They have done corruptly, They have done abominable actions, There is not a doer of good.
Psalm 14:2	Jehovah from the heavens Hath looked on the sons of men, To see if there is a wise one—seeking God.
Psalm 14:3	The whole have turned aside, Together they have been filthy: There is not a doer of good, not even one.
Psalm 14:4	Have all working iniquity not known? Those consuming my people have eaten bread, Jehovah they have not called.
Psalm 14:5	There they have feared a fear, For God is in the generation of the righteous.
Psalm 14:6	The counsel of the poor ye cause to stink, Because Jehovah is his refuge.
Psalm 14:7	Who doth give from Zion the salvation of Israel? When Jehovah doth turn back To a captivity of His people, Jacob doth rejoice—Israel is glad!
Psalm 15:1	A Psalm of David. Jehovah, who doth sojourn in Thy tent? Who doth dwell in Thy holy hill?
Psalm 15:2	He who is walking uprightly, And working righteousness, And speaking truth in his heart.
Psalm 15:3	He hath not slandered by his tongue, He hath not done to his friend evil; And reproach he hath not lifted up Against his neighbour.
Psalm 15:4	Despised in his eyes is a rejected one, And those fearing Jehovah he doth honour. He hath sworn to suffer evil, and changeth not;
Psalm 15:5	His silver he hath not given in usury, And a bribe against the innocent Hath not taken; Whoso is doing these is not moved to the age!
Psalm 16:1	A Secret Treasure of David. Preserve me, O God, for I did trust in Thee.
Psalm 16:2	Thou hast said to Jehovah, ‘My Lord Thou art;’ My good is not for thine own sake;
Psalm 16:3	For the holy ones who are in the land, And the honourable, all my delight is in them.
Psalm 16:4	Multiplied are their griefs, Who have hastened backward; I pour not out their libations of blood, Nor do I take up their names on my lips.
Psalm 16:5	Jehovah is the portion of my share, and of my cup, Thou—Thou dost uphold my lot.
Psalm 16:6	Lines have fallen to me in pleasant places, Yea, a beauteous inheritance is for me.
Psalm 16:7	I bless Jehovah who hath counselled me; Also in the nights my reins instruct me.
Psalm 16:8	I did place Jehovah before me continually, Because—at my right hand I am not moved.
Psalm 16:9	Therefore hath my heart been glad, And my honour doth rejoice, Also my flesh dwelleth confidently:
Psalm 16:10	For Thou dost not leave my soul to Sheol, Nor givest thy saintly one to see corruption.
Psalm 16:11	Thou causest me to know the path of life; Fulness of joys is with Thy presence, Pleasant things by Thy right hand for ever!
Psalm 17:1	A Prayer of David. Hear, O Jehovah, righteousness, attend my cry, Give ear to my prayer, without lips of deceit.
Psalm 17:2	From before thee my judgment doth go out; Thine eyes do see uprightly.
Psalm 17:3	Thou hast proved my heart, Thou hast inspected by night, Thou hast tried me, Thou findest nothing; My thoughts pass not over my mouth.
Psalm 17:4	As to doings of man, Through a word of Thy lips I have observed The paths of a destroyer;
Psalm 17:5	To uphold my goings in Thy paths, My steps have not slidden.
Psalm 17:6	I—I called Thee, for Thou dost answer me, O God, incline Thine ear to me, hear my speech.
Psalm 17:7	Separate wonderfully Thy kindness, O Saviour of the confiding, By Thy right hand, from withstanders.
Psalm 17:8	Keep me as the apple, the daughter of the eye; In shadow of Thy wings thou dost hide me.
Psalm 17:9	From the face of the wicked who spoiled me. Mine enemies in soul go round against me.
Psalm 17:10	Their fat they have closed up, Their mouths have spoken with pride:
Psalm 17:11	Our steps now have compassed him;’ Their eyes they set to turn aside in the land.
Psalm 17:12	His likeness as a lion desirous to tear, As a young lion dwelling in secret places.
Psalm 17:13	Arise, O Jehovah, go before his face, Cause him to bend. Deliver my soul from the wicked, Thy sword,
Psalm 17:14	From men, Thy hand, O Jehovah, From men of the world, their portion is in life, And with Thy hidden things Thou fillest their belly, They are satisfied with sons; And have left their abundance to their sucklings.
Psalm 17:15	I—in righteousness, I see Thy face; I am satisfied, in awaking, with Thy form!
Psalm 18:1	To the Overseer.—By a servant of Jehovah, by David, who hath spoken to Jehovah the words of this song in the day Jehovah delivered him from the hand of all his enemies, and from the hand of Saul, and he saith:—I love Thee, O Jehovah, my strength.
Psalm 18:2	Jehovah is my rock, and my bulwark, And my deliverer, My God is my rock, I trust in Him: My shield, and a horn of my salvation, My high tower.
Psalm 18:3	The ‘Praised One’ I call Jehovah, And from my enemies I am saved.
Psalm 18:4	Compassed me have cords of death, And streams of the worthless make me afraid.
Psalm 18:5	Cords of Sheol have surrounded me, Before me have been snares of death.
Psalm 18:6	In mine adversity I call Jehovah, And unto my God I cry. He heareth from His temple my voice, And My cry before Him cometh into His ears.
Psalm 18:7	And shake and tremble doth the earth, And foundations of hills are troubled, And they shake—because He hath wrath.
Psalm 18:8	Gone up hath smoke by His nostrils, And fire from His mouth consumeth, Coals have been kindled by it.
Psalm 18:9	And He inclineth the heavens, and cometh down, And thick darkness is under His feet.
Psalm 18:10	And He rideth on a cherub, and doth fly, And He flieth on wings of wind.
Psalm 18:11	He maketh darkness His secret place, Round about Him His tabernacle, Darkness of waters, thick clouds of the skies.
Psalm 18:12	From the brightness over-against Him His thick clouds have passed on, Hail and coals of fire.
Psalm 18:13	And thunder in the heavens doth Jehovah, And the Most High giveth forth His voice, Hail and coals of fire.
Psalm 18:14	And He sendeth His arrows and scattereth them, And much lightning, and crusheth them.
Psalm 18:15	And seen are the streams of waters, And revealed are foundations of the earth. From Thy rebuke, O Jehovah, From the breath of the spirit of Thine anger.
Psalm 18:16	He sendeth from above—He taketh me, He draweth me out of many waters.
Psalm 18:17	He delivereth me from my strong enemy, And from those hating me, For they have been stronger than I.
Psalm 18:18	They go before me in a day of my calamity And Jehovah is for a support to me.
Psalm 18:19	And He bringeth me forth to a large place, He draweth me out, because He delighted in me.
Psalm 18:20	Jehovah doth recompense me According to my righteousness, According to the cleanness of my hands, He doth return to me.
Psalm 18:21	For I have kept the ways of Jehovah, And have not done wickedly against my God.
Psalm 18:22	For all His judgments are before me, And His statutes I turn not from me.
Psalm 18:23	And I am perfect with him, And I keep myself from mine iniquity.
Psalm 18:24	And Jehovah doth return to me, According to my righteousness, According to the cleanness of my hands, Over-against his eyes.
Psalm 18:25	With the kind Thou showest Thyself kind, With a perfect man showest Thyself perfect.
Psalm 18:26	With the pure Thou showest Thyself pure, And with the perverse showest Thyself a wrestler,
Psalm 18:27	For Thou a poor people savest, And the eyes of the high causest to fall.
Psalm 18:28	For Thou—Thou lightest my lamp, Jehovah my God enlighteneth my darkness.
Psalm 18:29	For by Thee I run—a troop! And by my God I leap a wall.
Psalm 18:30	God! perfect is His way, The saying of Jehovah is tried, A shield is He to all those trusting in Him.
Psalm 18:31	For who is God besides Jehovah? And who is a rock save our God?
Psalm 18:32	God! who is girding me with strength, And He maketh perfect my way.
Psalm 18:33	Making my feet like hinds, And on my high places causeth me to stand.
Psalm 18:34	Teaching my hands for battle, And a bow of brass was brought down by my arms.
Psalm 18:35	And Thou givest to me the shield of Thy salvation, And Thy right hand doth support me, And Thy lowliness maketh me great.
Psalm 18:36	Thou enlargest my step under me, And mine ankles have not slidden.
Psalm 18:37	I pursue mine enemies, and overtake them, And turn back not till they are consumed.
Psalm 18:38	I smite them, and they are not able to rise, They fall under my feet,
Psalm 18:39	And Thou girdest me with strength for battle, Causest my withstanders to bow under me.
Psalm 18:40	As to mine enemies—Thou hast given to me the neck, As to those hating me—I cut them off.
Psalm 18:41	They cry, and there is no saviour, On Jehovah, and He doth not answer them.
Psalm 18:42	And I beat them as dust before wind, As mire of the streets I empty them out.
Psalm 18:43	Thou dost deliver me From the strivings of the people, Thou placest me for a head of nations, A people I have not known do serve me.
Psalm 18:44	At the hearing of the ear they hearken to me, Sons of a stranger feign obedience to me,
Psalm 18:45	Sons of a stranger fade away, And are slain out of their close places.
Psalm 18:46	Jehovah liveth—and blessed is my rock, And exalted is the God of my salvation.
Psalm 18:47	God—who is giving vengeance to me, And He subdueth peoples under me,
Psalm 18:48	My deliverer from mine enemies, Above my withstanders Thou raisest me, From a man of violence dost deliver me.
Psalm 18:49	Therefore I confess Thee among nations, O Jehovah, And to Thy name I sing praise,
Psalm 18:50	Magnifying the salvation of His king, And doing kindness to His anointed, To David, and to his seed—unto the age!
Psalm 19:1	To the Overseer.—A Psalm of David. The heavens are recounting the honour of God, And the work of His hands The expanse is declaring.
Psalm 19:2	Day to day uttereth speech, And night to night sheweth knowledge.
Psalm 19:3	There is no speech, and there are no words. Their voice hath not been heard.
Psalm 19:4	Into all the earth hath their line gone forth, And to the end of the world their sayings, For the sun He placed a tent in them,
Psalm 19:5	And he, as a bridegroom, goeth out from his covering, He rejoiceth as a mighty one To run the path.
Psalm 19:6	From the end of the heavens is his going out, And his revolution is unto their ends, And nothing is hid from his heat.
Psalm 19:7	The law of Jehovah is perfect, refreshing the soul, The testimonies of Jehovah are stedfast, Making wise the simple,
Psalm 19:8	The precepts of Jehovah are upright, Rejoicing the heart, The command of Jehovah is pure, enlightening the eyes,
Psalm 19:9	The fear of Jehovah is clean, standing to the age, The judgments of Jehovah are true, They have been righteous—together.
Psalm 19:10	They are more desirable than gold, Yea, than much fine gold; and sweeter than honey, Even liquid honey of the comb.
Psalm 19:11	Also—Thy servant is warned by them, ‘In keeping them is a great reward.’
Psalm 19:12	Errors! who doth understand? From hidden ones declare me innocent,
Psalm 19:13	Also—from presumptuous ones keep back Thy servant, Let them not rule over me, Then am I perfect, And declared innocent of much transgression,
Psalm 19:14	Let the sayings of my mouth, And the meditation of my heart, Be for a pleasing thing before Thee, O Jehovah, my rock, and my redeemer!
Psalm 20:1	To the Overseer.—A Psalm of David. Jehovah doth answer thee, In a day of adversity, The name of the God of Jacob doth set thee on high,
Psalm 20:2	He doth send thy help from the sanctuary, And from Zion doth support thee,
Psalm 20:3	He doth remember all thy presents, And thy burnt-offering doth reduce to ashes. Selah.
Psalm 20:4	He doth give to thee according to thy heart, And all thy counsel doth fulfil.
Psalm 20:5	We sing of thy salvation, And in the name of our God set up a banner. Jehovah doth fulfil all thy requests.
Psalm 20:6	Now I have known That Jehovah hath saved His anointed, He answereth him from His holy heavens, With the saving might of His right hand.
Psalm 20:7	Some of chariots, and some of horses, And we of the name of Jehovah our God Make mention.
Psalm 20:8	They—they have bowed and have fallen, And we have risen and station ourselves upright.
Psalm 20:9	O Jehovah, save the king, He doth answer us in the day we call!
Psalm 21:1	To the Overseer.—A Psalm of David. Jehovah, in Thy strength is the king joyful, In Thy salvation how greatly he rejoiceth.
Psalm 21:2	The desire of his heart Thou gavest to him, And the request of his lips Thou hast not withheld. Selah.
Psalm 21:3	For Thou puttest before him blessings of goodness, Thou settest on his head a crown of fine gold.
Psalm 21:4	Life he hath asked from Thee, Thou hast given to him—length of days, Age-during—and for ever.
Psalm 21:5	Great is his honour in Thy salvation, Honour and majesty Thou placest on him.
Psalm 21:6	For Thou makest him blessings for ever, Thou dost cause him to rejoice with joy, By Thy countenance.
Psalm 21:7	For the king is trusting in Jehovah, And in the kindness of the Most High He is not moved.
Psalm 21:8	Thy hand cometh to all Thine enemies, Thy right hand doth find Thy haters.
Psalm 21:9	Thou makest them as a furnace of fire, At the time of Thy presence. Jehovah in His anger doth swallow them, And fire doth devour them.
Psalm 21:10	Their fruit from earth Thou destroyest, And their seed from the sons of men.
Psalm 21:11	For they stretched out against Thee evil, They devised a wicked device, they prevail not,
Psalm 21:12	For Thou makest them a butt, When Thy strings Thou preparest against their faces.
Psalm 21:13	Be Thou exalted, O Jehovah in, Thy strength, We sing and we praise Thy might!
Psalm 22:1	To the Overseer, on ‘The Hind of the Morning.’—A Psalm of David. My God, my God, why hast Thou forsaken me? Far from my salvation, The words of my roaring?
Psalm 22:2	My God, I call by day, and Thou answerest not, And by night, and there is no silence to me.
Psalm 22:3	And Thou art holy, Sitting—the Praise of Israel.
Psalm 22:4	In Thee did our fathers trust—they trusted, And Thou dost deliver them.
Psalm 22:5	Unto Thee they cried, and were delivered, In Thee they trusted, and were not ashamed.
Psalm 22:6	And I am a worm, and no man, A reproach of man, and despised of the people.
Psalm 22:7	All beholding me do mock at me, They make free with the lip—shake the head,
Psalm 22:8	‘Roll unto Jehovah, He doth deliver him, He doth deliver him, for he delighted in him.’
Psalm 22:9	For thou art He bringing me forth from the womb, Causing me to trust, On the breasts of my mother.
Psalm 22:10	On Thee I have been cast from the womb, From the belly of my mother Thou art my God.
Psalm 22:11	Be not far from me, For adversity is near, for there is no helper.
Psalm 22:12	Many bulls have surrounded me, Mighty ones of Bashan have compassed me,
Psalm 22:13	They have opened against me their mouth, A lion tearing and roaring.
Psalm 22:14	As waters I have been poured out, And separated themselves have all my bones, My heart hath been like wax, It is melted in the midst of my bowels.
Psalm 22:15	Dried up as an earthen vessel is my power, And my tongue is cleaving to my jaws.
Psalm 22:16	And to the dust of death thou appointest me, For surrounded me have dogs, A company of evil doers have compassed me, Piercing my hands and my feet.
Psalm 22:17	I count all my bones—they look expectingly, They look upon me,
Psalm 22:18	They apportion my garments to themselves, And for my clothing they cause a lot to fall.
Psalm 22:19	And Thou, O Jehovah, be not far off, O my strength, to help me haste.
Psalm 22:20	Deliver from the sword my soul, From the paw of a dog mine only one.
Psalm 22:21	Save me from the mouth of a lion:—And—from the horns of the high places Thou hast answered me!
